text,citationCount_log,influentialCitationCount_log,influentialCitationCount
"It is argued against the assertion that theory no longer matters and some new research directions are offered that can allow business analysts and researchers to achieve frequent, controlled and meaningful observations of real-world phenomena.",2.4216203771068323,0.8457180179666587,7
The experience of designing a visual analytics tool for collaborative qualitative coding is utilized to demonstrate the potential in using ML to support qualitative coding by shifting the focus to identifying ambiguity and propose three research directions to ground ML applications for social science as part of the progression toward human-centered machine learning.,1.3981136917305026,0.004321373782642578,1
"This paper aims to illustrate how social sciences, sociology in particular, have theorized on societal transitions by providing an excursus on social science accounts on transitions and suggesting some way-forward measures towards a computational social science approach to societal transitions.",1.3224260524059526,0.004321373782642578,1
A lightweight yet effective approach to mining cross-cultural differences of named entities and finding similar terms for slang across languages that could be useful for machine translation applications and research in computational social science is presented.,1.2789821168654432,0.004321373782642578,1
"Generative Social Science is generally an update to the 1996 book Growing Artificial Societies by Epstein and Robert Axtell, although this new book is a compilation of works with all but three chapters (Introduction, Chapters 2 and 13) published separately elsewhere in books or journals.",2.7930985935901904,1.079543007402906,12
"The Blueprint: Planning and Preparing a Meta-Analytic Review highlights the need for research Synthesis in the Social Sciences and the limits of Meta-Analysis, as well as recommending recommended Readings and Practical Matters.",2.853704294289349,2.120606831056773,132
"The theoretical and methodological underpinnings of this approach to the analysis of situations in computational settings called situational analytics are outlined, and it is shown how it can be used to surface situations from large data sets derived from online platforms such as YouTube.",0.47856649559384334,0.004321373782642578,1
"With the proliferation of digital photographs and the increasing digitization of historical imagery, fashion studies scholars must consider new methods for interpreting large data sets.",0.47856649559384334,0.004321373782642578,1
"This work illustrates and discusses examples of equifinality in studies of social learning, and makes suggestions for how to address instances of it, with an emphasis on using data simulation and methodological verification alongside modern statistical approaches that emphasize prediction and model comparison.",1.1763806922432705,0.30319605742048883,2
"Initial evidence suggesting that educational robotics can foster students’ cognitive and social skills in K-12 is revealed, and a practical framework for the development of CT via robotics is next in demand, so as instructional designers and educators can implement it consistently and at scale.",1.6628522332647961,0.004321373782642578,1
"It is demonstrated that the future popularity of a meme can be predicted by quantifying its early spreading pattern in terms of community concentration, and the more communities a meme permeates, the more viral it is.",2.6776160764583095,1.4151403521958728,26
This work describes how computational researches have approached social systems and the methods used to analyze such systems and a taxonomy is proposed to classify and describe different categories of research.,1.4473131088235682,0.47856649559384334,3
